tahun,pct_tdk_cukup_pangan,prov,persen_anak_dengan_akte_lahir,kepadatan_penduduk,persen_penduduk_trampil_tik,proporsi_hidup_dibawah_50_persen_median_pendapatan
2021,6.9,ACEH,94.52,92,60.21,9.98
2021,6.33,SUMATERA UTARA,83.02,205,67.41,5.87
2021,6.02,SUMATERA BARAT,91.38,133,68.0,2.47
2021,10.61,RIAU,84.25,75,70.69,2.52
2021,9.25,JAMBI,93.37,72,64.47,5.91
2021,6.82,SUMATERA SELATAN,90.05,93,62.59,13.24
2021,8.64,BENGKULU,94.52,102,62.1,8.37
2021,10.25,LAMPUNG,93.51,262,65.76,12.12
2021,11.05,KEP. BANGKA BELITUNG,96.05,90,66.33,0.01
2021,7.71,KEP. RIAU,94.2,258,89.06,1.59
2021,2.2,DKI JAKARTA,96.93,15978,91.79,0.18
2021,4.44,JAWA BARAT,84.76,1379,76.08,11.5
2021,12.34,JAWA TENGAH,96.03,1120,71.15,18.41
2021,10.18,DI YOGYAKARTA,98.14,1185,84.72,12.94
2021,9.14,JAWA TIMUR,91.0,855,68.07,15.56
2021,2.8,BANTEN,84.56,1248,75.69,4.2
2021,7.43,BALI,93.28,755,77.09,5.74
2021,1.78,NUSA TENGGARA BARAT,88.7,290,58.69,16.3
2021,11.84,NUSA TENGGARA TIMUR,65.66,111,53.16,29.0
2021,19.6,KALIMANTAN BARAT,90.01,37,62.04,6.53
2021,8.88,KALIMANTAN TENGAH,86.96,18,66.43,3.4
2021,2.78,KALIMANTAN SELATAN,91.49,106,70.39,3.24
2021,12.56,KALIMANTAN TIMUR,93.16,30,81.17,1.13
2021,12.75,KALIMANTAN UTARA,92.96,9,76.94,0.31
2021,6.91,SULAWESI UTARA,90.15,190,69.77,12.43
2021,10.63,SULAWESI TENGAH,85.11,49,58.19,11.39
2021,7.93,SULAWESI SELATAN,91.47,196,67.29,19.05
2021,11.17,SULAWESI TENGGARA,90.58,70,65.75,21.73
2021,14.84,GORONTALO,94.02,105,61.94,20.84
2021,10.81,SULAWESI BARAT,91.83,86,55.72,25.74
2021,29.62,MALUKU,81.63,40,59.26,7.73
2021,28.86,MALUKU UTARA,84.42,41,51.53,6.34
2021,24.59,PAPUA BARAT,74.74,11,62.31,10.84
2021,37.37,PAPUA,45.19,14,30.58,13.35
2021,8.49,INDONESIA,88.42,142,70.17,11.61
2020,8.58,ACEH,93.84,91,54.25,9.53
2020,6.73,SUMATERA UTARA,80.45,203,58.6,6.32
2020,5.86,SUMATERA BARAT,90.1,132,58.67,2.49
2020,9.16,RIAU,81.83,73,62.67,3.26
2020,9.12,JAMBI,93.73,71,56.87,6.21
2020,9.77,SUMATERA SELATAN,90.65,92,54.52,14.31
2020,7.72,BENGKULU,92.77,101,53.42,8.23
2020,12.19,LAMPUNG,91.65,260,55.57,13.04
2020,9.35,KEP. BANGKA BELITUNG,96.07,89,60.37,0.16
2020,6.07,KEP. RIAU,94.71,252,81.73,1.84
2020,1.94,DKI JAKARTA,97.52,15907,88.08,0.07
2020,3.9,JAWA BARAT,85.72,1365,71.09,11.42
2020,11.8,JAWA TENGAH,96.26,1113,65.78,18.5
2020,9.9,DI YOGYAKARTA,98.36,1171,81.36,12.54
2020,8.58,JAWA TIMUR,91.62,851,63.91,16.08
2020,2.11,BANTEN,82.82,1232,69.35,4.32
2020,4.01,BALI,93.85,747,72.56,5.57
2020,2.97,NUSA TENGGARA BARAT,84.98,286,52.72,18.25
2020,13.12,NUSA TENGGARA TIMUR,63.33,109,42.89,31.45
2020,19.92,KALIMANTAN BARAT,87.71,37,54.1,6.83
2020,10.1,KALIMANTAN TENGAH,87.36,17,59.66,3.94
2020,2.72,KALIMANTAN SELATAN,92.19,105,62.88,3.43
2020,8.24,KALIMANTAN TIMUR,93.38,29,75.33,0.71
2020,12.11,KALIMANTAN UTARA,92.64,9,71.99,0.34
2020,4.49,SULAWESI UTARA,91.0,189,63.03,12.91
2020,8.85,SULAWESI TENGAH,83.37,48,51.68,12.2
2020,10.14,SULAWESI SELATAN,91.06,194,60.5,20.25
2020,10.06,SULAWESI TENGGARA,88.58,69,60.35,21.7
2020,10.33,GORONTALO,93.32,104,55.68,24.28
2020,9.16,SULAWESI BARAT,89.56,85,47.66,25.33
2020,35.55,MALUKU,80.04,39,49.96,8.93
2020,35.48,MALUKU UTARA,83.08,40,45.22,6.88
2020,23.09,PAPUA BARAT,77.36,11,59.45,12.03
2020,31.49,PAPUA,50.4,13,30.93,16.29
2020,8.34,INDONESIA,88.11,141,64.26,11.99
2019,9.41,ACEH,91.22,93,46.77,10.17
2019,4.84,SUMATERA UTARA,76.81,200,51.78,7.13
2019,4.9,SUMATERA BARAT,87.89,130,52.85,3.26
2019,8.32,RIAU,78.32,80,55.37,3.63
2019,8.95,JAMBI,91.92,72,50.83,6.87
2019,9.04,SUMATERA SELATAN,88.65,92,46.5,14.58
2019,7.66,BENGKULU,91.85,100,48.7,8.43
2019,10.51,LAMPUNG,90.23,244,48.37,14.99
2019,7.85,KEP. BANGKA BELITUNG,94.6,91,54.93,0.04
2019,4.08,KEP. RIAU,93.53,267,77.18,0.56
2019,1.43,DKI JAKARTA,97.01,15900,85.17,0.29
2019,3.7,JAWA BARAT,83.68,1394,65.37,10.85
2019,11.61,JAWA TENGAH,95.12,1058,58.75,18.08
2019,7.35,DI YOGYAKARTA,97.95,1227,75.04,13.25
2019,7.47,JAWA TIMUR,89.06,831,57.23,14.68
2019,2.13,BANTEN,80.45,1338,66.96,4.88
2019,2.91,BALI,92.72,750,65.48,5.75
2019,2.77,NUSA TENGGARA BARAT,81.72,273,47.85,18.44
2019,14.11,NUSA TENGGARA TIMUR,61.08,112,36.33,31.7
2019,19.11,KALIMANTAN BARAT,85.1,34,47.04,7.64
2019,9.38,KALIMANTAN TENGAH,83.97,18,54.54,4.71
2019,2.51,KALIMANTAN SELATAN,90.28,110,57.82,4.12
2019,6.97,KALIMANTAN TIMUR,92.69,29,69.44,0.79
2019,10.12,KALIMANTAN UTARA,91.47,10,65.36,0.86
2019,3.96,SULAWESI UTARA,88.97,181,57.48,13.01
2019,8.44,SULAWESI TENGAH,78.02,49,44.13,13.02
2019,7.65,SULAWESI SELATAN,89.35,189,54.85,20.01
2019,8.79,SULAWESI TENGGARA,88.12,71,53.36,22.84
2019,7.78,GORONTALO,92.99,107,50.62,25.51
2019,6.79,SULAWESI BARAT,89.11,82,40.95,25.23
2019,34.12,MALUKU,78.66,38,44.02,10.75
2019,35.81,MALUKU UTARA,79.2,39,38.11,6.6
2019,19.22,PAPUA BARAT,75.05,9,52.37,11.28
2019,38.21,PAPUA,45.88,11,26.45,17.8
2019,7.63,INDONESIA,86.01,140,58.22,11.93
